point,N83Z11XXX,N83Z11YYY,Id,Latitude,Longitude
WA0B3,476328,4283496,WA0B3,38.6998,-117.2722
WA0B4,475964,4283880,WA0B4,38.7032,-117.2764
WA0B5,475713,4283998,WA0B5,38.7043,-117.2793
WA0B6,475182,4284300,WA0B6,38.707,-117.2854
WA0B7,474706,4284574,WA0B7,38.7094,-117.2909
WL01,536931,4350156,WL01,39.3,-116.5717
WL02,537285,4350420,WL02,39.3024,-116.5676
WL03,537523,4350763,WL03,39.3054,-116.5648
WL04,538368,4351727,WL04,39.3141,-116.5549
WL05,539890,4352610,WL05,39.322,-116.5372
WL06,540147,4352583,WL06,39.3217,-116.5342
WL07,540416,4352465,WL07,39.3206,-116.5311
WL08,540747,4352367,WL08,39.3197,-116.5273
WL09,541348,4352187,WL09,39.3181,-116.5203
WL10,541107,4351457,WL10,39.3115,-116.5232
WL11,541577,4349986,WL11,39.2983,-116.5178
WL12,542209,4348896,WL12,39.2884,-116.5106
WL13,543406,4347960,WL13,39.2799,-116.4967
AL14,544647,4347369,AL14,39.2745,-116.4824
AL15,545072,4348363,AL15,39.2835,-116.4774
AL16,545895,4349257,AL16,39.2915,-116.4678
AL17,547012,4351091,AL17,39.3079,-116.4547
AL18,547741,4351223,AL18,39.3091,-116.4463
AL19,548712,4351888,AL19,39.315,-116.4349
AL20,549703,4352135,AL20,39.3172,-116.4234
AL21,549951,4352294,AL21,39.3186,-116.4205
AL22,550268,4352752,AL22,39.3227,-116.4168
WS01.1,476444,4334452,WS01.1,39.159,-117.2726
WS01.2,477267,4334221,WS01.2,39.1569,-117.2631
WS01.3,477752,4334148,WS01.3,39.1563,-117.2575
WS02.1,478393,4333845,WS02.1,39.1535,-117.2501
WS02.2,478611,4333781,WS02.2,39.153,-117.2475
WS02.3,478989,4333756,WS02.3,39.1528,-117.2432
WS03.1,479632,4333962,WS03.1,39.1546,-117.2357
WS03.2,479948,4334019,WS03.2,39.1551,-117.2321
WS03.3,480513,4334115,WS03.3,39.156,-117.2255
